20190523-083342,Acceleration (m/s^2),Magnetometer (uTesla),Gyroscope (radians/s)20190523-083342,(-0.002,-0.651,10.093),(55.100,-1.800,-17.600),(-0.883,2.688,0.281)
20190523-083352,(0.000,-0.677,10.083),(54.600,-1.600,-17.600),(-0.922,2.500,-0.023)
20190523-083352,(0.007,-0.653,10.134),(56.000,-1.500,-18.700),(-1.211,2.805,-0.281)
20190523-083352,(0.005,-0.658,10.105),(55.500,-0.800,-17.200),(-0.797,2.883,-0.023)
20190523-083352,(0.005,-0.677,10.081),(55.300,-0.200,-18.300),(-0.844,2.672,-0.031)
20190523-083352,(0.005,-0.663,10.150),(55.900,-1.900,-18.200),(-0.844,2.570,-0.055)
20190523-083352,(0.002,-0.658,10.093),(55.800,-0.800,-18.200),(-0.852,2.758,0.125)
20190523-083352,(-0.014,-0.668,10.155),(56.700,-0.900,-17.200),(-1.070,2.633,-0.078)
20190523-083353,(-0.002,-0.663,10.067),(55.300,-1.600,-19.500),(-0.734,2.820,0.156)
20190523-083353,(0.007,-0.670,10.112),(54.700,-1.400,-17.100),(-1.039,2.852,-0.273)
20190523-083353,(0.000,-0.668,10.146),(55.600,-1.000,-17.400),(-1.023,2.766,-0.305)
20190523-083353,(0.012,-0.682,10.040),(54.800,-1.600,-18.800),(-0.867,2.914,-0.305)
20190523-083353,(0.002,-0.658,10.126),(56.200,-0.500,-16.600),(-1.195,2.539,0.078)
20190523-083353,(0.005,-0.665,10.134),(56.200,-0.700,-19.100),(-1.125,2.648,0.039)
20190523-083353,(-0.002,-0.663,10.074),(55.700,-1.400,-19.000),(-1.281,2.828,-0.047)
20190523-083353,(0.019,-0.675,10.100),(56.100,-1.100,-17.200),(-0.750,2.930,-0.203)
20190523-083353,(-0.014,-0.660,10.148),(56.000,-1.400,-17.000),(-1.211,2.828,-0.117)
20190523-083354,(-0.005,-0.656,10.091),(56.800,-0.700,-18.000),(-0.602,2.594,-0.031)
20190523-083354,(0.002,-0.665,10.074),(56.300,-1.700,-17.600),(-1.016,2.758,-0.188)
20190523-083354,(0.019,-0.660,10.141),(57.100,0.000,-17.900),(-0.992,2.820,0.125)
20190523-083354,(0.012,-0.656,10.095),(55.400,-1.500,-17.000),(-1.164,2.711,0.031)
