Time,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Magnetometer X (uTesla), Magnetometer Y (uTesla)  , Magnetometer Z (uTesla),Gyroscope X (radians/s), Gyroscope Y (radians/s), Gyroscope Z (radians/s)
2019-06-09-14:27:37.519229,0.711,-0.376,10.155,12.400,39.200,28.700,-0.656,3.000,-0.070
2019-06-09-14:27:37.538652,0.706,-0.376,10.160,11.900,39.100,28.400,-0.805,2.820,0.234
2019-06-09-14:27:37.558066,0.699,-0.397,10.138,11.600,38.200,30.700,-1.125,3.156,0.312
2019-06-09-14:27:37.577478,0.696,-0.368,10.155,12.500,39.100,28.000,-1.016,2.711,0.148
2019-06-09-14:27:37.596958,0.699,-0.376,10.150,11.800,37.900,31.300,-1.156,2.805,-0.031
2019-06-09-14:27:37.616570,0.646,-0.378,10.146,12.000,38.100,29.300,-1.031,2.945,0.133
2019-06-09-14:27:37.636156,0.651,-0.275,10.141,11.700,37.900,28.600,-1.141,2.648,0.125
2019-06-09-14:27:37.655631,0.651,-0.294,10.064,10.700,38.400,28.700,-1.367,2.680,-0.031
2019-06-09-14:27:37.675078,0.656,-0.282,10.083,12.000,39.900,27.300,-0.875,2.930,0.039
2019-06-09-14:27:37.694602,0.660,-0.292,10.079,11.200,38.900,28.900,-1.102,2.734,0.125
2019-06-09-14:27:37.714488,0.658,-0.299,10.067,11.100,38.000,28.700,-0.656,2.734,0.266
2019-06-09-14:27:37.734127,0.660,-0.304,10.067,11.700,39.200,29.600,-0.836,2.500,0.055
2019-06-09-14:27:37.753605,0.651,-0.297,10.071,10.600,38.400,28.700,-0.977,2.898,0.148
2019-06-09-14:27:37.773006,0.648,-0.301,10.098,11.500,38.200,29.300,-0.750,2.703,0.016
